구분,성별,부위,순위,브랜드,아이템명,색상,이미지경로,이미지URL,디테일페이지URL
지그재그,,여성_신발,6,착한구두,[키높이샌들�/휴양지룩]�통굽 스트랩 통굽샌들 여름샌들 웨지힐 웨지샌들 샌들 여름샌들 키높이 플랫폼샌들 스트랩샌들 샌들힐 페스티벌 화이트샌들 통굽쪼리 다프니 SDLTS2f189,기본,지그재그/여성/신발/06_착한구두/[키높이샌들�_휴양지룩]�통굽 스트랩 통굽샌들 여름샌들 웨지힐 웨지샌들 샌들 여름샌들 키높이 플랫폼샌들 스트랩샌들 샌들힐 페스티벌 화이트샌들 통/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2023/6/9/4823_202306091309030840_16868.jpeg,https://zigzag.kr/catalog/products/124733602
지그재그,,여성_신발,7,슈즈데이,컨디 3cm 메쉬 리본 슬리퍼,기본,지그재그/여성/신발/07_슈즈데이/컨디 3cm 메쉬 리본 슬리퍼/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/5/19/6808_202505191152290025_32333.gif,https://zigzag.kr/catalog/products/161930612
지그재그,,여성_신발,8,소보,베인드 미들힐 슬링백 5cm,기본,지그재그/여성/신발/08_소보/베인드 미들힐 슬링백 5cm/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/2/26/528_202502261606130679_53044.jpeg,https://zigzag.kr/catalog/products/158723415
지그재그,,여성_신발,9,소보,라이튼 세미스퀘어 스트랩 샌들힐 5cm,기본,지그재그/여성/신발/09_소보/라이튼 세미스퀘어 스트랩 샌들힐 5cm/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2024/5/28/528_202405281802000513_31912.jpeg,https://zigzag.kr/catalog/products/141743239
지그재그,,여성_신발,10,유엠,[자체제작/당일배송/빅사이즈] 올리버 발볼넓은샌들 슬리퍼 구두 샌들 (2/5cm),기본,지그재그/여성/신발/10_유엠/[자체제작_당일배송_빅사이즈] 올리버 발볼넓은샌들 슬리퍼 구두 샌들 (2_5cm)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/c/16/972/677/169726777-3047423254476249378.png,https://zigzag.kr/catalog/products/169726777
지그재그,,여성_신발,12,사뿐,드마리 스퀘어 쪼리 슬리퍼 (1cm),기본,지그재그/여성/신발/12_사뿐/드마리 스퀘어 쪼리 슬리퍼 (1cm)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/5/7/558_202605070847050359_11791.jpeg,https://zigzag.kr/catalog/products/124896825
지그재그,,여성_신발,13,슈펜,꼬임 스트래피 샌들 (2cm)_샌들구두 샌들힐 출근룩 하객룩 모임룩 (HPWWNGS510 re) HPWWNGB603,기본,지그재그/여성/신발/13_슈펜/꼬임 스트래피 샌들 (2cm)_샌들구두 샌들힐 출근룩 하객룩 모임룩 (HPWWNGS510 re) HPWWNGB603/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/4/2/11998_202604021633360511_54982.jpeg,https://zigzag.kr/catalog/products/169366564
지그재그,,여성_신발,14,수앤수,[5cm이상] 키높이 통굽 경량 쪼리 슬리퍼 모음전 (25GS002),기본,지그재그/여성/신발/14_수앤수/[5cm이상] 키높이 통굽 경량 쪼리 슬리퍼 모음전 (25GS002)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/c/16/329/342/163293427-5997277737159656948.gif,https://zigzag.kr/catalog/products/163293427
지그재그,,여성_신발,15,사뿐,케일린 스트랩 샌들힐 (5 / 7cm),기본,지그재그/여성/신발/15_사뿐/케일린 스트랩 샌들힐 (5 _ 7cm)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/5/6/558_202605061041020226_49490.jpeg,https://zigzag.kr/catalog/products/140690042
지그재그,,여성_신발,16,수앤수,[여름준비�6cm] 퐁당 키높이 초경량 쪼리 슬리퍼 (24S008),기본,지그재그/여성/신발/16_수앤수/[여름준비�6cm] 퐁당 키높이 초경량 쪼리 슬리퍼 (24S008)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/4/18/630_202504181301530871_20073.jpeg,https://zigzag.kr/catalog/products/169328516
지그재그,,여성_신발,17,착한구두,�자체제작 샌들 스트랩 쪼리샌들 여름샌들 여름슈즈 스트랩샌들 샌들힐 키높이 여름구두 여름하객룩 화이트샌들 시즌오프 자이프 SDEMS2h808,기본,지그재그/여성/신발/17_착한구두/�자체제작 샌들 스트랩 쪼리샌들 여름샌들 여름슈즈 스트랩샌들 샌들힐 키높이 여름구두 여름하객룩 화이트샌들 시즌오프 자이프 SDEMS2h808/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/6/5/4823_202506051651160530_92109.jpeg,https://zigzag.kr/catalog/products/161576076
지그재그,,여성_신발,18,곰블리,여름 BEST� 모브2 발편한 통굽 플랫폼 스트랩 샌들 (5cm) (휴양지/여행/통굽/키높이/메리제인/페스티벌/흠뻑쇼/워터밤),기본,지그재그/여성/신발/18_곰블리/여름 BEST� 모브2 발편한 통굽 플랫폼 스트랩 샌들 (5cm) (휴양지_여행_통굽_키높이_메리제인_페스티벌_흠뻑쇼_워터밤)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2024/4/12/6795_202404120941000884_89745.jpeg,https://zigzag.kr/catalog/products/139304230
지그재그,,여성_신발,19,엘리자베스스튜어트,[메쉬백증정][장마템] 휴양지 네트 젤리 샌들 EBAL160301,기본,지그재그/여성/신발/19_엘리자베스스튜어트/[메쉬백증정][장마템] 휴양지 네트 젤리 샌들 EBAL160301/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/5/28/11418_202605281525520110_85757.jpeg,https://zigzag.kr/catalog/products/170497186
지그재그,,여성_신발,20,커스텀에이드우먼,5cm 리본 새틴 슬링백 키튼힐 블레어(CW0087BK),기본,지그재그/여성/신발/20_커스텀에이드우먼/5cm 리본 새틴 슬링백 키튼힐 블레어(CW0087BK)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/4/3/25452_202504031314250921_81348.jpeg,https://zigzag.kr/catalog/products/160272701
